price,price_for_m2,locality,street,usable_area,floor,elevator,state,state_of_real_estate,real_estate_type,type_of_ownership,balcony,basement,material,land,build_up_area
279000,64432,Bratislava I Staré Mesto,Vysoká,43,,False,novostavba,Novostavba,2 izbový byt,predaj,False,False,,,
285000,38742,Bratislava V Petržalka,Humenské námestie,73,,False,novostavba,Novostavba,2 izbový byt,predaj,False,False,,,
344000,55222,Bratislava I Staré Mesto,Nám. SNP,62,3/0,False,kompletná rekonštrukcia,,2 izbový byt,predaj,False,False,,,
230000,17972,Dunajská Streda,Galantská Cesta,128,,False,novostavba,Novostavba,3 izbový byt,predaj,False,True,,,
349000,43582,Bratislava V Petržalka,Žltá,80,2/5,True,projekt,,3 izbový byt,predaj,True,True,,,
185000,52662,Bratislava II Ružinov,Muškátová,35,,False,kompletná rekonštrukcia,,2 izbový byt,predaj,False,False,,,
258000,41472,Bratislava V Petržalka,,62,,False,novostavba,Novostavba,2 izbový byt,predaj,False,False,,,
349000,40292,Bratislava III Nové Mesto,Belehradská,86,,False,kompletná rekonštrukcia,,3 izbový byt,predaj,False,False,,,
286000,35662,Bratislava IV Devínska Nová Ves,Zdenky Schelingovej,80,,False,novostavba,Novostavba,3 izbový byt,predaj,False,False,,,
870000,44472,Bratislava I Staré Mesto,Tallerova,195,,False,kompletná rekonštrukcia,,4 izbový byt,predaj,False,False,,,
599000,54132,Bratislava I Staré Mesto,Námestie SNP,110,,False,kompletná rekonštrukcia,,3 izbový byt,predaj,True,True,,,
285000,38742,Bratislava V Petržalka,Humenské námestie,73,,False,novostavba,Novostavba,3 izbový byt,predaj,False,False,,,
,,Bratislava II Ružinov,Nevädzová,53,,False,novostavba,Novostavba,Iný byt,predaj,False,False,,,
185000,31942,Bratislava II Vrakuňa,Toryská,57,,False,kompletná rekonštrukcia,,2 izbový byt,predaj,False,False,,,
399000,31272,Bratislava V Petržalka,Kopčianska,127,,False,novostavba,Novostavba,4 izbový byt,predaj,False,False,,,
399000,31272,Bratislava V Petržalka,Kopčianska,127,,False,novostavba,Novostavba,2 izbový byt,predaj,False,False,,,
250000,45452,Bratislava V Petržalka,Bosákova,55,,False,novostavba,Novostavba,2 izbový byt,predaj,False,False,,,
399000,40602,Bratislava II Ružinov,Klincová,98,,False,novostavba,Novostavba,3 izbový byt,predaj,False,False,,,
949000,49792,Bratislava V Petržalka,Rusovská cesta,190,,False,novostavba,Novostavba,4 izbový byt,predaj,False,False,,,
235000,32642,Bratislava II Ružinov,Nezábudková,72,1/0,False,kompletná rekonštrukcia,,3 izbový byt,predaj,False,True,,,
244000,36972,Bratislava II Ružinov,Obežná,66,,False,kompletná rekonštrukcia,,3 izbový byt,predaj,False,False,,,
168000,27102,Nitra,Mostná,62,2/3,False,kompletná rekonštrukcia,,2 izbový byt,predaj,True,True,tehla,,
273000,42002,Bratislava II Ružinov časť Trávniky,Narcisová,65,2/7,True,kompletná rekonštrukcia,,2 izbový byt,predaj,True,True,panel,,
199990,51282,Bratislava II Ružinov,Trnavská cesta,39,4/12,True,kompletná rekonštrukcia,,2 izbový byt,predaj,True,True,,,
45000,12862,Bulharsko,Sveti Vlas,35,,True,novostavba,Novostavba,Apartmán,predaj,True,False,,,
,,Nitra,nezadaná,76,,False,novostavba,Novostavba,3 izbový byt,predaj,False,False,,,
430000,37962,Bratislava I Staré Mesto,Murgašova,113,,True,kompletná rekonštrukcia,,4 izbový byt,predaj,False,False,iný,128,
102000,51262,Bratislava II Ružinov,Čmelíková,19,7/0,True,pôvodný,,Garsónka,predaj,False,False,zmiešaný,19,
259000,33462,Bratislava IV Karlova Ves,Adámiho,77,4/0,True,kompletná rekonštrukcia,,4 izbový byt,predaj,True,False,panel,100,
107000,16982,Dunajská Streda,Nám. Priateľstva,63,3/0,True,kompletná rekonštrukcia,,3 izbový byt,predaj,True,False,panel,63,
559000,42472,Bratislava III Nové Mesto,Hálkova,131,5/0,True,kompletná rekonštrukcia,,4 izbový byt,predaj,True,False,zmiešaný,142,
530000,45202,Bratislava III Nové Mesto,Bajkalská,117,22/0,True,pôvodný,,3 izbový byt,predaj,True,False,zmiešaný,131,
249900,40972,Bratislava II Ružinov,Bajkalská,61,10/0,False,novostavba,Novostavba,2 izbový byt,predaj,True,False,,,
