price,price_for_m2,locality,street,usable_area,floor,elevator,state,state_of_real_estate,real_estate_type,type_of_ownership,balcony,basement,material,land,build_up_area
219090,547732,Lučenec,,400,,False,,,Rodinný dom,predaj,False,False,,400,400
,,Banská Bystrica,,520,,False,,Novostavba,Rodinný dom,predaj,False,False,,520,520
299000,23362,Budmerice,,128,,False,,Novostavba,Rodinný dom,predaj,False,False,,455,83
55000,98572,Dubnica nad Váhom,,558,,False,,,Záhradná chata,predaj,False,False,,558,
191000,20992,Malacky,,91,,False,,Novostavba,Rodinný dom,predaj,False,False,,433,55
190600,20952,Jakubov,,91,,False,,Novostavba,Rodinný dom,predaj,False,False,,317,55
339000,13562,Bratislava II Podunajské Biskupice,,250,,False,,,Rodinný dom,predaj,False,False,,1153,545
198000,20002,Malacky,,99,,False,,Novostavba,Rodinný dom,predaj,False,False,,299,55
,,Piešťany,,570,,False,,,Rodinný dom,predaj,False,False,,,
649000,41872,Bratislava IV Dúbravka,,155,,False,,Novostavba,Rodinný dom,predaj,False,False,,2250,
95000,272992,Počúvadlo,,348,,False,,,"Chalupa, rekreačný domček",predaj,False,False,,348,38
63000,630002,Nitrianska Blatnica,,100,,False,,,Rodinný dom,predaj,False,False,,,
249000,11322,Nové Mesto nad Váhom,,220,,False,,,Rodinný dom,predaj,False,False,,,
250000,13892,Madunice,,180,,False,,,Rodinný dom,predaj,False,False,,813,112
380000,19492,Trnava,,195,,False,,Novostavba,Rodinný dom,predaj,False,False,,1091,162
152500,13862,Nové Zámky,,110,,False,,,Rodinný dom,predaj,False,False,,589,120
350000,11822,Nová Dubnica,,296,,False,,,Rodinný dom,predaj,False,False,,296,
455000,968092,Nitra,,470,,False,,,Rodinný dom,predaj,False,False,,410,250
360000,906802,Žilina,,397,,False,,Novostavba,Rodinný dom,predaj,False,False,,397,150
49000,11142,Jelenec,,44,,False,,,"Chalupa, rekreačný domček",predaj,False,False,,,34
104000,16252,Jelenec,,64,,False,,,"Chalupa, rekreačný domček",predaj,False,False,,,45
560000,52832,Bratislava III Nové Mesto,,106,,False,,Novostavba,Rodinný dom,predaj,False,False,,400,106
399000,483052,Žilina,,826,,False,,Novostavba,Rodinný dom,predaj,False,False,,826,112
230000,16432,Lužianky,,140,,False,,Novostavba,Rodinný dom,predaj,False,False,,540,140
